timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1789464130031,26,Formulas - HTTP Request,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: No such host is known (.easycalculation.com),EasyCalculation Test Plan 2-1,text,false,,2535,0,1,5,https://.easycalculation.com/formulas/index.php,0,0,26
1789464130061,1,Currencies - HTTP Request,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: .easycalculation.com,EasyCalculation Test Plan 2-1,text,false,,2167,0,1,5,https://.easycalculation.com/currency-converter/index.php,0,0,1
1789464130063,0,Calculators - HTTP Request,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: .easycalculation.com,EasyCalculation Test Plan 2-1,text,false,,2167,0,1,5,https://.easycalculation.com/index.php,0,0,0
1789464130064,0,Examples - HTTP Request,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: .easycalculation.com,EasyCalculation Test Plan 2-1,text,false,,2167,0,1,5,https://.easycalculation.com/examples.php,0,0,0
1789464130031,809,Changes-HTTP Request,200,OK,Jmeter Test Plan 1-1,text,true,,32301,133,1,4,https://jmeter.apache.org/changes.html,690,0,641
1789464130843,47,UserManual - HTTP Request,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: No such host is known (jmeter.apache.or),Jmeter Test Plan 1-1,text,false,,2531,0,1,4,https://jmeter.apache.or/usermanual/get-started.html,0,0,47
1789464130890,165,Best Practices - HTTP Request,200,OK,Jmeter Test Plan 1-1,text,true,,42305,151,1,4,https://jmeter.apache.org/usermanual/best-practices.html,41,0,0
1789464130031,1080,BlazeDemo Home - HTTP Request,200,OK,BlazeDemo Test Plan 4-1,text,true,,4757,117,1,4,https://blazedemo.com/,1074,0,680
1789464131112,486,Login - HTTP Request,200,OK,BlazeDemo Test Plan 4-1,text,true,,5742,122,1,4,https://blazedemo.com/login,484,0,0
1789464131600,0,Cart - HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,BlazeDemo Test Plan 4-1,text,false,,1122,0,1,4,http:/,0,0,0
1789464131601,0,General - HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,BlazeDemo Test Plan 4-1,text,false,,1122,0,1,4,http:/,0,0,0
1789464131603,0,Signup - HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,BlazeDemo Test Plan 4-1,text,false,,1122,0,1,4,http:/,0,0,0
1789464130031,1575,Fish - HTTP Request,200,,PetStore Test Plan 5-1,text,true,,4535,221,1,4,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=33AE2DA82812A868C5FDF21CF0BF3C1C?viewCategory=&categoryId=FISH,1574,0,904
1789464130031,1648,TAP Home - HTTP Request,200,OK,Test Automation Practice Test Plan 3-1,text,true,,135252,130,1,3,https://practicetestautomation.com/,1603,0,610
1789464131607,357,Dogs - HTTP Request,200,,PetStore Test Plan 5-1,text,true,,4982,177,1,3,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=DOGS,357,0,0
1789464131680,606,Practice - HTTP Request,200,OK,Test Automation Practice Test Plan 3-1,text,true,,124690,139,1,3,https://practicetestautomation.com/practice/,327,0,0
1789464131965,489,Reptiles - HTTP Request,200,,PetStore Test Plan 5-1,text,true,,4262,181,1,3,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=REPTILES,489,0,0
1789464132287,311,Courses - HTTP Request,200,OK,Test Automation Practice Test Plan 3-1,text,true,,160576,138,1,3,https://practicetestautomation.com/courses/,276,0,0
1789464132455,196,Cats - HTTP Request,200,,PetStore Test Plan 5-1,text,true,,4256,177,1,3,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=CATS,196,0,0
1789464132652,0,Birds - HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: https:/actions/Catalog.action?viewCategory=&categoryId=BIRDS,PetStore Test Plan 5-1,text,false,,1176,0,1,3,https:/actions/Catalog.action?viewCategory=&categoryId=BIRDS,0,0,0
1789464132599,1133,Blog - HTTP Request,200,OK,Test Automation Practice Test Plan 3-1,text,true,,167266,135,1,2,https://practicetestautomation.com/blog/,346,0,0
1789464133732,513,Contact - HTTP Request,200,OK,Test Automation Practice Test Plan 3-1,text,true,,140340,138,1,2,https://practicetestautomation.com/contact/,282,0,0
1789464131056,3837,ComponentReference - HTTP Request,200,OK,Jmeter Test Plan 1-1,text,true,,1201763,156,1,1,https://jmeter.apache.org/usermanual/component_reference.html,551,0,0
1789464134895,1165,JmeterDownload - HTTP Request,200,OK,Jmeter Test Plan 1-1,text,true,,18942,140,1,1,https://jmeter.apache.org/download_jmeter.cgi,673,0,0
